Date,ABEV3.SA,B3SA3.SA,BBAS3.SA,BRFS3.SA,CMIG4.SA,CRFB3.SA,CSNA3.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MRFG3.SA,PETR3.SA,PETR4.SA,RAPT4.SA,VALE3.SA
2023-05-29,13.8956,12.8691,19.4651,7.348,7.397,9.5858,10.7452,23.677,17.5757,16.8574,5.4449,21.8384,19.2225,9.8771,54.6065
2023-05-30,13.632,12.6979,19.632,7.2385,7.36,9.371,10.3402,23.3428,17.5922,16.5406,5.3256,21.6335,19.0065,9.8402,53.3207
2023-05-31,13.5661,12.6693,19.5968,8.0947,7.2302,9.2441,10.4694,23.1581,17.3775,16.6519,5.6579,21.3701,18.812,9.9325,52.9309
2023-06-01,13.4061,13.6014,19.6495,8.4333,7.2735,9.4784,10.5297,23.4993,17.2041,17.6023,5.6664,21.992,19.417,10.1171,54.0507
2023-06-02,13.6132,13.7156,19.9412,8.5527,7.3414,9.8103,11.0467,23.8425,17.5344,17.5252,5.7005,22.2554,19.5754,10.1725,56.3567
2023-06-05,13.5661,13.7536,20.066,8.6125,7.3414,9.6639,11.1501,23.8953,17.617,17.568,5.7857,22.3944,19.7843,10.2463,55.8922
2023-06-06,13.9521,13.7061,20.2978,8.6224,7.5268,10.7181,11.3828,24.0625,17.8152,18.0817,6.0328,22.848,20.202,10.3848,56.0747
2023-06-07,13.9803,14.02,20.2889,8.6722,7.5392,11.089,11.1243,24.1329,17.6831,18.5354,5.9647,23.5576,20.7926,10.874,56.9623
2023-06-09,14.2533,13.9819,21.2784,8.7917,7.7555,11.0109,11.2191,24.4674,17.5675,18.6895,6.084,24.6916,21.8081,10.9663,56.7051
2023-06-12,14.2722,14.1721,22.0495,8.8315,7.8976,11.3331,10.9175,24.2034,18.1456,19.5371,6.1862,25.0062,22.1898,10.8925,55.6765
2023-06-13,14.3757,13.8963,21.82,8.8017,7.7555,11.2159,10.8572,24.4762,18.3521,18.407,6.2629,25.0167,22.1465,10.791,56.2655
2023-06-14,14.4322,14.4765,21.9277,9.1004,7.8791,11.4404,11.2622,24.8106,18.6164,18.3985,6.297,26.0933,23.0981,11.0217,57.2526
2023-06-15,14.3004,13.9914,22.3765,9.2696,7.8852,11.3428,11.3914,25.1363,18.922,18.0389,6.4248,25.706,22.5532,10.9756,57.7005
2023-06-16,14.1874,13.9058,22.2104,9.1701,7.6689,10.6102,11.5638,25.2155,18.8972,17.4053,6.1607,25.8609,22.7451,10.911,57.7918
2023-06-19,14.2251,14.077,22.6233,9.2099,7.7431,10.8953,11.5638,25.5587,18.9633,17.7906,6.3737,26.5038,23.3436,10.9663,57.5678
2023-06-20,14.2533,14.0104,22.6188,9.6579,7.8729,10.9838,11.3052,25.3123,19.0706,18.4755,6.5952,26.5735,23.4587,11.0033,56.083
2023-06-21,14.3851,13.9248,23.3324,9.4688,7.9656,10.7478,11.2535,25.5587,18.6412,18.6296,6.51,27.6346,24.441,11.1694,55.5189
2023-06-22,14.6393,13.5063,22.8881,9.3194,7.7184,10.8363,11.0812,25.3123,18.4512,18.3214,6.4418,27.1776,24.134,11.3171,55.2203
2023-06-23,14.5828,13.7251,22.897,9.4588,7.9779,11.1215,11.0554,25.2331,18.7485,19.1005,6.3481,26.2559,23.1441,11.3633,54.6645
2023-06-26,14.4416,13.3637,22.9509,8.8714,7.9302,10.9248,11.1846,25.1979,18.476,18.5269,6.1692,26.7671,23.6659,11.2064,54.7807
2023-06-27,14.4793,13.3732,22.529,8.6324,7.9176,10.5708,11.2794,24.9163,18.2943,18.056,6.1266,26.5348,23.4818,11.0587,55.436
2023-06-28,14.3287,13.3783,22.2553,8.264,7.8549,10.7675,11.0123,24.7754,17.9309,18.0734,5.9306,26.7284,23.7043,10.9848,53.6857
2023-06-29,14.3287,14.04,22.4617,8.5926,7.9302,10.738,11.1415,25.0747,17.8152,18.4706,6.084,27.0227,23.8117,11.0771,54.341
2023-06-30,14.5075,14.0113,22.17,8.8714,8.0682,11.0133,10.4522,25.0131,17.9804,17.2704,6.1947,25.6363,22.6607,11.234,53.271
2023-07-03,14.5075,14.3181,22.6143,8.8714,8.0494,11.1608,10.6073,25.5042,18.1126,17.5208,6.1351,26.0778,23.0827,11.2156,54.9383
2023-07-04,14.2533,14.1359,22.4707,8.9112,7.9804,11.1608,10.6159,25.3457,18.2034,17.5121,6.0669,26.1398,23.1364,11.0587,54.6645
2023-07-05,14.3192,14.1263,22.3226,9.8272,7.9553,11.3575,10.6331,25.5658,18.1374,17.6589,6.3652,26.132,23.1057,11.0587,54.1834
2023-07-06,13.9615,13.5989,21.995,9.3592,7.8424,10.8068,10.478,25.1871,17.8565,17.0977,6.2118,25.799,22.7527,11.0587,53.7936
2023-07-07,13.9803,13.7715,22.4213,10.0363,7.9051,11.4362,10.9606,25.6627,18.063,17.633,6.3822,25.6596,22.6376,11.2525,54.2995
2023-07-10,14.131,13.503,22.0084,9.8371,7.8675,11.328,10.5987,25.4954,17.9143,16.4932,6.4078,25.6596,22.676,11.1694,53.47
2023-07-11,13.7732,13.3591,21.6943,9.6579,7.8424,11.2887,10.6762,25.0462,17.7739,16.2859,6.3055,25.4582,22.3691,11.1325,55.2286
2023-07-12,13.8297,13.666,21.3442,9.6181,7.8361,11.2788,10.8227,24.8965,17.5922,16.0355,6.4333,25.3807,22.3844,11.1233,55.6185
2023-07-13,13.8956,13.9633,21.5462,9.4986,7.9741,10.9248,11.176,25.1695,17.7987,15.9319,6.4163,25.7525,22.7374,11.5664,56.9125
2023-07-14,13.8768,13.8578,21.4026,8.8614,7.8925,10.6593,11.1071,24.9053,17.6666,15.3965,6.3055,25.2104,22.2923,11.031,56.9125
2023-07-17,13.9521,13.9921,21.5911,8.6224,7.8925,10.8363,11.0984,25.3897,17.6748,15.5088,6.2629,25.2181,22.2463,11.0587,56.2821
2023-07-18,13.8109,14.1072,21.6629,8.712,7.811,10.6888,11.0467,24.8965,17.6583,15.5865,6.1521,25.0012,22.1235,11.1048,55.9254
2023-07-19,13.7732,14.0017,21.2859,8.6822,7.7796,10.5217,10.9433,24.6323,17.3032,15.3533,6.1521,25.1406,22.3307,11.0033,55.7761
2023-07-20,14.0462,14.0113,21.5193,8.5428,7.7671,10.3545,10.9261,25.0903,17.3527,15.4397,6.084,25.3343,22.3537,11.1417,55.9005
2023-07-21,14.404,14.5483,21.7751,8.7419,7.8863,10.7478,10.9606,25.5394,17.3858,15.8024,6.1521,25.799,22.7758,11.2525,56.2406
2023-07-24,14.2345,14.4812,21.3487,8.5428,7.9553,10.9642,11.2449,25.1343,17.9226,16.2859,5.9135,26.3334,23.2515,11.1701,57.9411
2023-07-25,14.1498,14.3757,21.2365,8.3536,7.949,11.3083,11.9084,25.1871,18.0548,16.096,5.8198,26.8058,23.7887,11.1043,59.7328
2023-07-26,14.1027,14.3373,21.416,8.5328,8.0055,12.2228,12.0204,25.328,18.2778,16.4068,5.888,26.6897,23.7887,11.0291,59.5255
2023-07-27,13.8391,14.0017,20.9762,8.5428,7.8549,12.095,11.8567,24.7644,18.6164,16.0873,5.8028,25.1871,22.5532,10.9445,58.4139
2023-07-28,14.0839,14.1167,21.2186,9.1501,7.9051,12.4588,11.5982,25.1343,18.7568,16.096,6.0414,25.6131,22.8372,11.7061,56.0996
2023-07-31,13.9897,14.2894,21.627,9.7177,7.949,13.4913,11.9257,25.2224,18.9963,16.191,6.3226,26.9608,23.8731,11.6967,57.3687
2023-08-01,14.1027,14.1359,21.2545,9.7276,7.9239,13.4127,11.805,25.284,18.7898,16.1046,6.3481,26.3954,23.4818,11.5556,56.5724
2023-08-02,14.1686,14.1647,21.3487,9.7077,7.9239,13.098,11.4604,25.2047,18.7403,16.4068,6.4078,26.2095,23.428,12.054,55.6517
2023-08-03,13.7732,14.2606,21.3846,9.638,7.8235,12.6555,11.2966,25.011,19.178,16.0183,6.4759,26.5812,23.7273,11.7155,56.0
