Date,ASIANPAINT.NS,BHARTIARTL.NS,BPCL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS
2023-06-09,3139.2012,825.0908,161.2698,1588.9028,2560.5635,914.8867,1228.7782,417.9757,1868.412,2302.6714,9448.7949,1137.5269,569.1555,3109.4954,2847.8882
2023-06-12,3153.2168,827.912,166.7434,1579.2349,2567.6055,912.8385,1254.0148,416.5457,1875.8478,2280.21,9372.8838,1138.5352,569.1063,3145.926,2824.4714
2023-06-13,3220.4312,825.9322,167.6183,1581.8984,2599.1243,920.2509,1266.536,424.6012,1852.3927,2294.2913,9340.5459,1155.3556,566.8934,3142.8259,2883.7808
2023-06-14,3227.6858,819.5968,167.5959,1580.172,2621.3188,916.5934,1262.2168,423.7432,1861.076,2294.9248,9355.2666,1169.5634,567.0409,3149.947,2878.3845
2023-06-15,3251.522,821.3291,169.9962,1560.7374,2612.5286,903.7194,1249.0161,427.175,1829.9858,2301.0154,9416.458,1169.8843,557.1567,3139.4541,2879.3254
2023-06-16,3273.7292,829.3474,169.054,1581.1586,2637.7339,911.1317,1253.7236,431.9416,1853.84,2306.3748,9425.1436,1181.2736,561.8283,3099.043,2925.1687
2023-06-19,3266.6724,819.7948,168.1343,1582.5398,2627.5498,900.3546,1256.0046,432.4182,1821.053,2305.9363,9354.7764,1169.5405,559.4679,3133.6948,2939.3276
2023-06-20,3275.5552,822.814,167.1024,1585.8446,2620.5486,902.6953,1265.1285,431.7033,1840.4658,2321.1865,9315.6182,1171.9696,558.0419,3150.5815,2944.6743
2023-06-21,3272.9893,830.5353,167.2594,1613.566,2621.0381,901.8663,1261.1975,426.1741,1842.0128,2333.3184,9265.3203,1175.2695,557.0091,3180.3528,2941.803
2023-06-22,3205.8237,834.297,167.5286,1621.4583,2599.2498,902.8903,1243.9203,426.7461,1832.5808,2354.562,9228.2236,1162.0698,553.6652,3161.123,2940.9614
2023-06-23,3254.8281,846.1759,161.3372,1621.3596,2586.7646,900.696,1227.8561,423.9815,1825.0454,2328.5437,9153.8818,1152.5598,545.4529,3139.5024,2910.168
2023-06-26,3265.1423,843.3547,160.7539,1613.5167,2597.0464,904.5484,1233.0491,424.8872,1819.4559,2316.8503,9294.126,1143.76,547.8625,3113.4404,2953.3364
2023-06-27,3282.7605,856.174,161.6736,1636.2562,2596.3123,912.9848,1241.5907,424.3152,1841.1643,2327.082,9285.0957,1144.1726,556.7632,3120.9565,2956.4163
2023-06-28,3304.7212,863.4003,163.9393,1653.5698,2606.0063,914.3015,1255.3738,428.3667,1837.0225,2359.6294,9363.2656,1159.3201,560.4022,3138.624,3008.4771
2023-06-30,3318.3416,869.8843,163.6253,1678.4796,2622.5557,911.5218,1296.2861,430.5117,1843.0109,2412.3484,9607.0469,1168.8302,563.4019,3223.3503,3027.9001
2023-07-03,3315.0354,870.2802,168.381,1696.6318,2644.9805,919.2755,1294.5388,441.6176,1840.4158,2391.397,9493.1553,1198.8273,575.7941,3194.1157,3018.6108
2023-07-04,3304.1785,856.4214,168.9867,1704.9186,2643.9521,921.3724,1305.6528,444.5728,1858.1317,2398.998,9468.0312,1186.4755,579.5314,3229.7927,3054.7251
2023-07-05,3330.531,857.9064,173.4285,1650.7582,2698.6428,934.3441,1307.7396,452.9142,1861.2758,2407.7195,9806.5176,1184.5276,580.8592,3240.6272,3079.762
2023-07-06,3355.2061,860.8761,176.4569,1652.4353,2699.8669,935.7095,1304.4395,451.7703,1873.7019,2425.0652,9676.0889,1209.3915,582.7278,3243.5068,3086.2693
2023-07-07,3300.2302,861.668,175.7166,1638.032,2642.0916,923.0305,1291.1417,446.5271,1849.9475,2386.8174,9667.1094,1207.0311,583.8097,3249.7053,3123.6257
2023-07-10,3299.6875,876.4672,173.2714,1634.1351,2601.4043,924.9811,1290.1226,444.0962,1863.3218,2376.4875,9555.2773,1253.5276,582.8262,3193.7744,3025.814
2023-07-11,3348.4451,882.9017,175.3801,1626.1936,2628.7739,921.6163,1309.0013,451.0553,1863.0223,2411.3738,9716.082,1267.1167,578.843,3194.2134,3067.5913
2023-07-12,3362.4607,880.9713,173.2714,1610.9517,2618.1492,921.0799,1294.1508,450.245,1874.5004,2392.2739,9652.9268,1268.5146,579.5314,3182.012,3076.4336
