Date,ALFA.ST,ASSA-B.ST,ATCO-A.ST,AXFO.ST,CAST.ST,ERIC-B.ST,HM-B.ST,KINV-B.ST,LIAB.ST,NWG.ST,SAAB-B.ST,SAND.ST,SWED-A.ST,TEL2-B.ST,VOLV-B.ST
2023-06-16,383.1609,244.7729,153.0598,225.6102,105.75,53.5896,144.4842,150.25,150.4601,135.7882,147.8867,209.3913,159.1987,83.7155,205.3095
2023-06-19,377.4539,242.0467,152.1801,219.8902,102.55,52.9827,143.2973,146.9,148.0565,135.2063,148.1344,205.6835,156.8889,83.0673,203.3815
2023-06-20,381.2914,240.6836,151.2027,219.5151,100.65,53.0103,145.2378,146.6,145.653,135.5942,152.047,199.634,158.0438,83.2293,200.6071
2023-06-21,377.0603,240.6836,151.2516,214.0765,99.96,51.677,143.9567,141.85,144.9801,134.8183,150.5612,200.5121,159.9686,80.7083,202.0178
2023-06-22,373.3212,239.5152,150.372,214.7329,99.14,49.8196,146.3682,140.35,141.8074,133.0724,146.599,198.7558,152.5262,79.4658,200.1368
2023-06-26,371.6484,240.002,150.0299,209.6693,99.12,50.0127,147.5363,140.5,141.519,132.8785,140.012,200.2194,154.1943,79.916,201.1713
2023-06-27,372.1404,244.8702,151.1539,211.6385,100.0,50.0587,147.8378,141.45,144.2109,127.8349,140.3587,200.2194,153.2105,80.5103,202.0648
2023-06-28,374.502,248.8622,151.1539,213.3263,102.7,51.2264,148.3088,144.6,146.4222,128.9988,142.7855,201.2927,152.2695,80.5823,204.6982
2023-06-29,375.0923,247.6938,150.2253,212.7637,102.05,53.4517,175.2688,147.4,146.5183,131.1326,143.0331,200.8049,154.622,80.3662,206.7203
2023-06-30,386.7033,252.1725,151.8869,213.9827,102.95,53.7091,174.4399,149.4,147.4797,133.6544,144.4198,205.0981,155.563,80.2402,209.7298
2023-07-03,380.209,251.7831,148.9059,216.2332,104.7,54.5091,173.837,149.0,144.9801,130.7446,147.0448,206.1714,157.445,80.4022,210.8584
2023-07-04,372.6324,253.0488,148.0262,218.1086,110.65,54.4172,174.5529,150.55,146.7106,132.1025,140.3091,203.8296,158.5571,80.7984,207.0494
2023-07-05,364.8589,249.7384,147.9773,220.7341,111.75,53.7551,174.5529,144.8,142.2881,130.3567,142.5874,199.7316,159.7119,81.1045,205.9208
2023-07-06,360.2343,244.3834,144.8497,219.6089,105.65,53.3321,170.4458,140.6,138.7309,129.3867,141.894,195.7311,156.5468,81.5907,203.3345
2023-07-07,367.0237,243.5071,146.0226,222.3282,105.9,53.3965,168.769,141.7,141.1344,129.9687,142.2407,197.7801,157.06,80.9424,204.9333
2023-07-10,366.4333,244.1887,146.2669,221.7656,104.35,53.3781,167.5821,139.55,139.6923,130.7446,143.5779,198.6583,155.3064,80.0601,205.5917
2023-07-11,366.0397,247.0122,145.5338,222.1407,108.35,53.4701,169.0328,136.8,140.7499,132.6845,143.6274,200.8049,157.9583,79.988,208.2721
2023-07-12,370.3692,250.7121,147.2932,224.4849,110.05,54.0586,171.9907,138.2,143.8264,135.0123,145.5094,203.5369,159.4553,80.4922,210.1531
2023-07-13,367.8109,249.2516,147.6353,222.5158,108.1,53.8471,169.7299,139.15,141.7113,129.7747,144.8161,200.9024,161.0379,80.0781,208.4602
2023-07-14,365.5478,250.5173,147.7819,240.5196,106.85,48.1185,169.1835,138.7,139.2116,130.9386,140.4082,198.4631,160.7812,79.916,206.297
2023-07-17,366.9253,249.0569,148.0262,245.6769,108.75,46.307,168.1473,135.75,136.5197,129.3867,140.5072,199.1461,162.4066,79.6639,207.5667
2023-07-18,372.2388,253.633,150.372,244.833,111.4,46.5093,170.7284,137.8,137.5772,129.7747,142.5874,204.0248,165.4006,71.2005,210.2941
2023-07-19,362.9894,247.7912,142.5039,250.8342,118.35,47.576,168.3357,140.5,137.8656,130.7446,142.9836,200.4146,162.1927,72.371,209.965
2023-07-20,381.3898,243.0203,142.5039,254.8663,118.7,48.4679,167.7517,140.4,136.2313,135.2063,148.8277,200.317,162.706,72.9472,213.6799
2023-07-21,377.6507,243.8966,144.2144,255.429,119.15,48.4771,166.6401,140.95,151.5176,134.0424,143.1817,200.2194,164.1175,72.8752,211.8459
2023-07-24,378.1427,245.9413,144.8008,256.3666,118.95,49.1299,166.3952,141.5,154.5941,135.9822,140.6558,202.2684,164.8874,73.5775,214.9025
2023-07-25,379.5202,246.6228,146.1203,252.8972,118.85,49.0932,164.888,143.55,157.4783,138.8919,133.7716,205.8786,167.7959,73.0013,214.7615
2023-07-26,380.701,241.8519,143.8234,254.6788,119.8,49.2035,165.3778,145.3,156.3247,141.2197,133.3259,202.9515,165.8284,73.1633,215.0436
2023-07-27,383.3578,247.5964,145.6316,253.4598,120.65,49.6541,167.1111,143.9,157.5745,142.3836,135.406,205.6835,166.9832,72.5331,218.0532
2023-07-28,382.8658,246.3307,145.8759,253.1785,120.35,49.2403,166.6401,145.2,156.7092,144.7114,135.6536,205.0981,163.7753,72.2089,219.4639
2023-07-31,387.5888,246.3307,146.3158,251.4906,119.95,48.6334,166.5459,143.65,156.9015,141.4137,137.3871,208.6107,165.0585,71.3266,218.2413
2023-08-01,384.3417,246.6228,146.218,251.0218,118.2,49.0564,163.1924,141.75,157.3822,142.5776,138.0309,208.9034,164.5024,70.6783,216.8306
2023-08-02,382.0786,245.5518,144.5076,248.49,116.1,49.0196,157.823,136.5,155.9401,140.0558,138.2785,206.0738,162.1927,70.0301,216.5014
2023-08-03,374.01,240.5862,142.3085,244.4579,116.75,48.4679,155.0723,133.3,153.6327,141.9957,137.5356,201.0,162.6204,68.8416,214.0091
2023-08-04,375.1907,241.073,143.237,245.3956,117.6,48.8817,155.9389,135.25,155.0748,144.9054,138.9224,201.2927,164.3313,68.8596,215.3728
2023-08-07,376.7651,240.0994,143.4813,245.5831,114.45,48.9093,156.9375,131.45,152.479,144.3235,140.3587,202.2684,165.0585,68.4994,216.5484
2023-08-08,374.994,238.0548,141.4288,245.5831,114.05,48.707,156.2781,128.95,152.3829,140.0558,139.071,198.5607,163.262,68.3554,213.6329
2023-08-09,380.3074,239.5152,143.1881,248.3024,116.5,48.9828,156.881,129.15,153.825,139.6679,140.1605,201.1951,165.2296,68.6435,213.1626
2023-08-10,381.7834,241.073,143.0904,247.5523,120.65,49.6725,159.6505,131.05,156.2285,140.2498,137.9814,201.4879,168.4802,69.4538,213.868
